id,O3_anual_f
"6821",32.540101
"5012",32.102557
"3685",35.667708
"2508",34.656966
"2216",30.083696
"1720",29.631005
"112",32.102557
"3706",32.102557
"7406",29.631005
"4168",32.959955
"3259",31.295413
"5593",32.017563
"9263",31.933537
"8401",31.951024
"3316",35.667708
"623",31.951024
"7923",35.667708
"2786",35.667708
"2310",30.925798
"6703",32.045742
"5547",31.295413
"6509",35.667708
"6892",35.667708
"2951",30.632082
"3767",35.667708
"3851",30.925798
"638",30.712341
"3384",31.137939
"4596",32.540101
"426",32.284448
"7865",30.083696
"4878",30.083696
"8978",32.137073
"6578",32.137073
"1656",32.284448
"521",32.284448
"8339",32.137073
"6954",35.667708
"3330",31.238305
"714",35.667708
"2204",32.137073
"3043",34.656966
"8584",30.231371
"43",30.231371
"8130",33.824885
"8329",31.951024
