id,lat,lon,name,cvegeo,pob_2010,imu2010,gmu2010
131,19.419579,-99.161314,131 COLIMA-JALAPA,0901500011002,2936,-1.011443824052040,Muy bajo
134,19.418304,-99.15956,134 ÁLVARO OBREGÓN-ORIZABA,0901500011002,2936,-1.011443824052040,Muy bajo
136,19.417715,-99.162729,136 ÁLVARO OBREGÓN-TONALÁ,0901500011002,2936,-1.011443824052040,Muy bajo
100,19.428485,-99.1338,100 20 DE NOVIEMBRE-MESONES,0901500010894,2645,-0.386619884418030,Medio
101,19.428366,-99.135895,101 1ER. CALLEJÓN DE MESONES-MESONES,0901500010894,2645,-0.386619884418030,Medio
104,19.427059,-99.137116,104 SAN JERONIMO-ISABEL LA CATOLICA,0901500010894,2645,-0.386619884418030,Medio
105,19.426755,-99.135014,105 SAN JERONIMO-5 DE FEBRERO,0901500010894,2645,-0.386619884418030,Medio
106,19.42649,-99.133537,106 SAN JERONIMO-JOSE MARIA PINO SUAREZ,0901500010894,2645,-0.386619884418030,Medio
87,19.43182,-99.13974,87 GANTE-VENUSTIANO CARRANZA,0901500010818,249,-0.743225073655219,Bajo
90,19.431698,-99.132446,90 JOSE MARIA PINO SUAREZ-CORREGIDORA,0901500010818,249,-0.743225073655219,Bajo
95,19.430722,-99.133698,95 20 DE NOVIEMBRE-VENUSTIANO CARRANZA,0901500010818,249,-0.743225073655219,Bajo
97,19.429189,-99.132759,97 REPUBLICA DE SALVADOR-PINO SUAREZ,0901500010818,249,-0.743225073655219,Bajo
55,19.434356,-99.138064,55 5 DE MAYO-BOLIVAR,0901500010767,237,-1.084687188669290,Muy bajo
88,19.433815,-99.135303,88 2A CDA 5 DE MAYO-PALMA,0901500010771,1154,-0.076471739619676,Medio
89,19.434946,-99.133989,89 REPUBLICA DE GUATEMALA-MONTE DE PIEDAD,0901500010771,1154,-0.076471739619676,Medio
94,19.433766,-99.130918,94 LIC. VERDAD-MONEDA,0901500010771,1154,-0.076471739619676,Medio
180,19.404554,-99.169953,180 QUINTANA ROO-VILLA HERMOSA,0901500011430,1102,-1.217267254680700,Muy bajo
161,19.405533,-99.164913,161 QUINTANA ROO-MANZANILLO,090150001145A,3076,-0.995563333605957,Muy bajo
164,19.403204,-99.16596,164 BAJÍO-TLACOTALPAN,090150001145A,3076,-0.995563333605957,Muy bajo
83,19.406296,-99.172117,83 NUEVO LEON-ALFONSO REYES,0901500011426,1472,-1.068469965352500,Muy bajo
179,19.404452,-99.171438,179 NUEVO LEÓN-QUINTANA ROO,0901500011426,1472,-1.068469965352500,Muy bajo
