ID,Nombre,Dirección,Número,Código po,districtCo,Colonia,altitude,nearbyStat,location/l,location_1,Tipo de es,nearbySt_1,nearbySt_2,nearbySt_3,nearbySt_4,nearbySt_5,punto_geo,CVE_AGEB,CVE_MUN,CVE_LOC,CVE_ENT,MOVEMENT_I,DISPLAY_NA
"410",410 PROLONGACIÓN TAJÍN-PROLONGACIÓN REPÚBLICAS,410 - Prolongación Tajín-Prolongación Repúblicas,S/N,"3310",SCA,Santa Cruz Atoyac,,"407",19.365639999999999,-99.158062999999999,BIKE,"408","409",,,,"19.36564,-99.158063","0844","014","0001","09","4612",Movement Zone 4612
"429",429 PIRINEOS-AV. POPOCATEPETL (EJE 8),429 - Pirineos-Av. Popocatepetl (Eje 8),S/N,"3310",SCA,Santa Cruz Atoyac,,"428",19.363071000000001,-99.158292000000003,BIKE,"430","431",,,,"19.363071,-99.158292","0844","014","0001","09","4612",Movement Zone 4612
"407",407 PROL. XOCHICALCO-GENERAL EMILIANO ZAPATA,407 - Prolongación Xochicalco-General Emiliano Zapat,S/N,"3320",REE,Residencial Emperadores,,"406",19.367294000000001,-99.158693999999997,BIKE,"408","410",,,,"19.367294,-99.158694","0844","014","0001","09","4612",Movement Zone 4612
"330",330 CALLE 15-AVENIDA PATRIOTISMO,330 - Calle 15-Avenida Patriotismo,S/N,"3800",SPP,San Pedro de los Pinos,,"329",19.389358000000001,-99.182606000000007,BIKE,"331","332",,,,"19.389358,-99.182606","0350","014","0001","09","4614",Movement Zone 4614
"331",331 AVENIDA 2-CALLE 17,331 - Avenida 2-Calle 17,S/N,"3800",SPP,San Pedro de los Pinos,,"329",19.388546999999999,-99.183971000000000,BIKE,"330","332",,,,"19.388547,-99.183971","0350","014","0001","09","4614",Movement Zone 4614
"329",329 CALLE 13-AVENIDA 1,329 - Calle 13-Avenida 1,S/N,"3800",SPP,San Pedro de los Pinos,,"312",19.390305999999999,-99.184811999999994,BIKE,"328","330",,,,"19.390306,-99.184812","0350","014","0001","09","4614",Movement Zone 4614
"326",326 EUGENIA-NEBRASKA,326 - Eugenia-Nebraska,S/N,"3840",AMN,Ampliación Nápoles,,"327",19.388978000000002,-99.174811000000005,BIKE,"334","335",,,,"19.388978,-99.174811","0384","014","0001","09","4615",Movement Zone 4615
"327",E327 GEORGIA -PENNSYLVANIA,327 - Georgia -Pennsylvania,S/N,"3810",NAP,Nápoles,,"300",19.388850000000001,-99.177719999999994,ELECTRIC_BIKE,"314","326",,,,"19.38885,-99.17772","0384","014","0001","09","4615",Movement Zone 4615
"315",315 ALABAMA-MONTANA,315 - Alabama-Montana,S/N,"3810",NAP,Nápoles,,"301",19.391472000000000,-99.173599999999993,BIKE,"302","316",,,,"19.391472,-99.1736","0384","014","0001","09","4615",Movement Zone 4615
"334",334 NUEVA YORK-AV. INSURGENTES,334 - Nuerva York-Av. Insurgentes,S/N,"3840",AMN,Ampliación Nápoles,,"326",19.386568000000000,-99.175089000000000,BIKE,"335","346",,,,"19.386568,-99.175089","0384","014","0001","09","4615",Movement Zone 4615
"336",336 SAN BORJA-CDA. BARTOLOCHE,336 - San Borja-Cda. Bartoloche,S/N,"3100",DVC,Del Valle Centro,,"325",19.385531000000000,-99.169673000000003,BIKE,"337","345",,,,"19.385531,-99.169673","0399","014","0001","09","4616",Movement Zone 4616
"325",325 PROVIDENCIA -AVENIDA DEL VALLE,325 - Providencia -Avenida Del Valle,S/N,"3100","1",Ampliación Granada,,"316",19.388177899999999,-99.169689399999996,BIKE,"335","336",,,,"19.3881779,-99.1696894","0399","014","0001","09","4616",Movement Zone 4616
"387",387 CADIZ-EMPRESA,387 - Cadiz-Empresa,S/N,"3920",INM,Insurgentes Mixcoac,,"381",19.374555560000001,-99.180505555555996,BIKE,"382","383",,,,"19.37455556,-99.1805055556","0702","014","0001","09","4618",Movement Zone 4618
"384",384 EMPRESA-POUSSIN,384 - Empresa-Poussin,S/N,"3920",INM,Insurgentes Mixcoac,,"385",19.375872999999999,-99.185582999999994,BIKE,"386","417",,,,"19.375873,-99.185583","0702","014","0001","09","4618",Movement Zone 4618
"383",383 LUIS CARACCI-2DA. LUIS CARACCI,383 - Luis Caracci-2da. Luis Caracci,S/N,"3740",EXI,Extremadura Insurgentes,,"366",19.375764000000000,-99.181527000000003,BIKE,"382","387",,,,"19.375764,-99.181527","0702","014","0001","09","4618",Movement Zone 4618
"385",385 POUSSIN-EMPRESA,385 - Poussin-Empresa,S/N,"3920",INM,Insurgentes Mixcoac,,"384",19.375651000000001,-99.185580000000002,"BIKE,TPV","386","417",,,,"19.375651,-99.18558","0702","014","0001","09","4618",Movement Zone 4618
"298",298 ROMERO DE TERREROS-GABRIEL MANCERA,298 - Romero De Terreros-Gabriel Mancera,S/N,"3103",DVN,Del Valle Norte,,"294",19.394072999999999,-99.162139999999994,BIKE,"318","319",,,,"19.394073,-99.16214","0257","014","0001","09","4619",Movement Zone 4619
