CVE_AGEB,text
891," GRAL ANTONIO LÉON-GRAL PEDRO A DE LOS S., GRAL GÓMEZ PEDRAZA-GOBERNADOR TIBURCIO M"
894," SAN JERONIMO-JOSE MARIA PINO SUAREZ, 20 DE NOVIEMBRE-MESONES, SAN JERONIMO-5 DE FEBRERO, SAN JERONIMO-ISABEL LA CATOLICA, 1ER. CALLEJÓN DE MESONES-MESONES"
926," RIO GUADALQUIVIR-RIO LERMA, RIO GUADALQUIVIR-RIO BALSAS, RIO NILO-RIO PANUCO"
929," RODRIGUEZ SARO-BUFALLO, MARÍA LUZ BRINGAS-OSO, MORAS-JOSÉ MARÍA RICO (EJE 8), BUFALO-JOSÉ MARÍA RICO (EJE 8)"
930," REFORMA-RIO DE PLATA, REFORMA-RÍO TIBER, REFORMA-RIO TIBER, REFORMA-RIO MISSISSIPPI, PASEO DE LA REFORMA - RÍO DE LA PLATA, RIO ELBA-RIO LERMA"
933," ADOLFO PRIETO-JOSÉ MARÍA OLLOQUI, MORAS-COMUNAL"
945," REFORMA-ESTOCOLMO, TOLEDO-TOKIO, REFORMA-DUBLIN, REFORMA-VARSOVIA, REFORMA-PRAGA, REFORMA-MANCHESTER, HAMBURGO-GENOVA"
948," JOSE MARÍA OLLOQUI-LOPÉZ COSTILLA, AMORES-AVENIDA COYOACÁN,E434 JOSE MARÍA OLLOQUI-AMORES"
952," CERRADA DE POPOCATEPETL-AV. POPOCATEPETL (EJE, REAL DE MAYORAZGO-AVENIDA MÉXICO-COYOACAN, PUENTE XOCO-REAL DE MAYORAZGO"
964, NEZAHUALCOYOTL-ISABEL LA CATOLICA
967, REAL DE MAYORAZGO-PUENTE XOCO
971," PROLONGACIÓN UXMAL-AV. POPOCATEPETL (EJE 8), CARRILLO PUERTO-AV. MÉXICO-COYOACÁN, BRUNO TRAVEN-GOLONDRINAS"
983, LONDRES-SEVILLA
986," BRUNO TRAVEN-PAZ MONTES DE OCA, RIFF-AVENIDA RIO CHURUBUSCO, TRIPOLI-AV. POPOCATEPETL (EJE 8), GENERAL MANUEL RINCÓN-AGUSTÍN GUTIERREZ,E445 RIFF-AVENIDA RIO CHURUBUSCO"
995," PEDREGAL-TEAPA, PEDREGAL-FERROCARRIL DE CUERNAVACA,E454 MONTES URALES-MONTE PELVOUX"
998," OAXACA-PUEBLA, SINALOA-VALLADOLID, PUEBLA-MEDELLÍN, DURANGO-SALAMANCA"
1002," TONALÁ-DURANGO, ÁLVARO OBREGÓN-ORIZABA, ÁLVARO OBREGÓN-TONALÁ, ORIZABA-RIO DE JANEIRO, COLIMA-JALAPA, NIZA-CHAPULTEPEC, JALAPA-PUEBLA"
1017," COLIMA-FRONTERA, PUEBLA-MERIDA, COLIMA-MORELIA, MÉRIDA-DURANGO, MORELIA-CIRCULAR DE MORELIA, ÁLVARO OBREGÓN-MORELIA"
1029," GREGORIO V GELATI-FRANCISCO MOLINOS DEL C, GENERAL CANO-GOBERNADOR GREGORIO V GELATI,E190 GDOR IGNACIO ESTEVA-MTRO JOSÉ VASCONCELOS"
1089," PUEBLA-VERACRUZ, GUADALAJARA-PUEBLA,E449 ACAPULCO-PUEBLA, DURANGO-SONORA, DURANGO-VERACRUZ, COZUMEL-PUEBLA"
1093," COLIMA-OAXACA, GLORIETA CIBELES-OAXACA"
1106," ZACATECAS-LUIS CABRERA,E139 TONALÁ-GUANJUATO"
1110," GUANAJUATO-FRONTERA, ÁLVARO OBREGÓN-MÉRIDA, CÓRDOBA-SAN LUIS POTOSÍ, MÉRIDA-ZACATECAS, MÉRIDA-ANTONIO ANZA, COAHUILA-AV.CUAUHTEMOC, FRONTERA-SAN LUIS POTOSÍ"
1160," GDOR RAFAEL REBOLLAR-GDOR VICENTE EGUIA, GDOR RAFAEL REBOLLAR-GDOR JOSÉ CEBALLOS, GDOR MELCHOR MÚZQUIZ-GDOR IGNACIO ESTEVA"
1175, OBSERVATORIO ORIENTE-REVOLUCIÓN
1178," MAZATLAN-FERNANDO MONTES DE OCA, AGUSTÍN MELGAR-ZAMORA, CIRCUITO INTERIOR-JUAN ESCUTIA"
1182," PARQUE ESPAÑA-JUAN DE LA BARRERA, CUERNAVACA-JUAN ESCUTIA, MAZATLAN-JUAN DE LA BARRERA, PARQUE ESPAÑA-SONORA, CUERNAVACA-VERACRUZ"
1197," AMSTERDAM-MICHOACAN, PARQUE MEXICO-MICHOACAN, NUEVO LEON-OZULAMA, NUEVO LEON- LAREDO, AVENIDA MEXICO-SONORA"
1207," 12 DE OCTUBRE-MINERIA, MINERÍA-JOSÉ MARTÍ"
1211," 13 DE SEPTIEMBRE-PUENTE DE LA MORENA, 13 DE SEPTIEMBRE-AVENIDA PATRIOTISMO"
1214," SAN LUIS POTOSI-EJE 2 PTE. MONTERREY, COAHUILA-ORIZABA, EJE 2 SUR YUCATÁN-CHIAPAS"
1226," PROGRESO-ASTRONOMOS,E175 MUTUALISMO-JOSÉ MARTí"
1303," FERNANDO MONTES DE OCA-TULA, MAZATLAN-FRANCISCO MARQUEZ"
1318," ALFONSO REYES-ATLIXCO, TAMAULIPAS-MICHOACAN, VICENTE SUAREZ-MICHOACAN, CAMPECHE-TAMAULIPAS"
1322, FERNANDO MONTES DE OCA-AMATLAN
1337, SALTILLO-ALFONSO REYES
1341," CHILPANCINGO-TLAXCALA, NUEVO LEON-AGUASCALIENTES, AGUASCALIENTES-INSURGENTES, MICHOACAN-AMSTERDAM, CHILPANCINGO-CAMPECHE"
1356," COAHUILA-MANZANILLO, TEPIC-TLACOTALPAN, TLACOTALPAN-CAMPECHE, CAMPECHE-MEDELLÍN, TUXPAN-TLAXCALA, MANZANILLO-TLAXCALA"
1375, CAMPECHE-TONALÁ
1411," CHOAPAN-TAMAULIPAS, BENJAMIN HILL-CARLOS ZETINA, MAZATLAN-ALFONSO REYES, BENJAMIN HILL-TAMAULIPAS, TAMAULIPAS-FRANCISCO MURGUÍA"
1426," NUEVO LEON-ALFONSO REYES, BENJAMIN FRANKLIN-OMETUSCO, NUEVO LEÓN-QUINTANA ROO"
1430, QUINTANA ROO-VILLA HERMOSA
1464," BAJÍO-EJE 2 PTE. MONTERREY, TEHUANTEPEC-MEDELLÍN"
1479, TOLUCA-BAJÍO
1534," CLAUDIO BERNARD-DR. LAVISTA, CLAUDIO BERNARD-DR. LICEAGA"
