,sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
30249,1110,1029,8,895.75,284.99,854.92,1.35
249897,1426,1464,14,1517.63,424.79,1467.93,1.28
250352,1207,1226,16,957.08,182.73,941.92,1.19
296997,1197,1322,8,505.75,187.48,430.44,2.17
301371,1106,1110,12,1309.57,332.95,1264.4,1.31
416125,1430,1411,10,841.87,311.75,797.12,1.38
436009,1303,1197,18,838.29,257.99,806.02,1.31
456541,1178,1411,0,923.66,303.42,881.74,1.34
473627,1322,1303,17,1393.14,310.55,1361.35,1.24
488149,1479,1534,4,867.18,377.17,801.65,1.47
519627,1479,1534,10,1264.55,629.15,1166.23,1.46
535642,1322,1303,23,1206.35,361.45,1162.56,1.3
539535,1430,1411,16,820.85,464.51,755.06,1.43
543950,1029,1017,23,1308.18,206.1,1290.54,1.18
557224,1207,1318,11,875.09,292.32,834.78,1.35
586894,1178,1411,6,983.82,379.15,916.54,1.46
615768,1002,1106,17,1557.69,393.96,1525.58,1.2
616274,1002,1534,7,2941.48,568.34,2893.99,1.19
735031,1426,1175,9,1980.58,687.79,1875.68,1.38
772064,1106,1002,4,1289.97,251.55,1268.38,1.2
64825,1411,1178,22,676.32,125.01,668.36,1.15
90542,1160,1175,17,1766.89,459.88,1716.32,1.26
118556,1375,1426,17,339.02,220.93,288.72,1.73
150404,1175,1426,9,1951.32,511.89,1892.73,1.27
157644,1375,1160,1,1267.45,263.1,1246.38,1.19
216848,1430,1464,18,1287.73,408.76,1233.55,1.33
335410,1534,1479,16,892.28,419.46,838.01,1.37
378555,1426,1479,1,643.35,152.56,629.64,1.22
404810,1322,1226,15,453.36,105.03,442.29,1.24
423166,1534,1160,19,1939.67,512.17,1876.8,1.29
429851,1322,1226,16,593.19,231.71,554.22,1.44
440097,1534,1160,20,1874.11,361.31,1839.79,1.21
522166,1534,1479,17,928.59,452.16,872.75,1.37
532274,1426,1479,2,696.16,321.46,659.22,1.33
535642,1426,1479,4,739.01,520.22,670.8,1.44
538507,1534,1160,22,1629.79,410.88,1588.63,1.24
541289,1322,1226,18,522.64,148.82,503.83,1.3
545615,1426,1426,23,907.47,1158.41,273.93,8.02
565550,1110,1106,9,1112.0,102.25,1107.28,1.1
593643,1426,1534,1,25.56,93.56,9.91,2.46
601078,1534,1479,19,960.15,365.84,909.73,1.36
732333,1426,1160,22,1671.45,469.42,1618.33,1.27
740907,1002,1106,9,1337.88,121.86,1332.52,1.09
743756,1426,1479,19,945.96,370.25,898.55,1.35
746662,1426,1534,16,32.36,141.12,11.46,2.65
782275,1002,1029,15,1252.07,323.09,1219.46,1.24
799307,1464,1426,2,1342.1,286.7,1314.39,1.22
823406,1303,1207,16,1073.47,403.57,1008.68,1.41
837074,1093,1110,3,868.86,548.04,750.39,1.66
848612,1093,1430,15,4429.7,2189.56,4020.77,1.52
49415,1322,1207,4,657.86,350.13,589.73,1.56
93158,1207,1303,18,820.56,309.27,781.12,1.34
144529,1430,1375,13,188.67,236.16,148.32,1.84
178010,1002,1093,14,951.51,308.78,905.22,1.42
209457,1430,1002,20,2971.38,344.56,2951.18,1.12
243868,1534,1175,11,1719.96,790.53,1631.95,1.33
328288,1178,1375,19,1433.38,250.56,1413.34,1.18
343055,1479,1178,11,683.83,204.05,661.92,1.27
355129,1322,1197,16,675.72,247.86,637.97,1.39
388442,1479,1375,22,738.37,321.16,688.76,1.43
424438,1534,1426,4,23.95,100.84,9.9,2.32
439566,1197,1303,20,850.94,313.3,806.53,1.37
442525,1375,1175,17,1668.04,742.52,1562.19,1.41
462124,1479,1430,19,1389.87,631.04,1256.66,1.57
474183,1175,1175,23,547.73,599.58,290.02,3.54
